id,Gender,Country,Age,Income,Marital-Status,workclass,credit-score,Learning,Tenure,Balance,Products,Education,Occupation,Target
61,Female,Australia,38.0,70000.0,Never-married,Self-emp-inc,73688.0,5.0,4.0,100000.0,,Masters,Prof-specialty,1
62,Male,Canada,24.0,50000.0,Separated,Self-emp-inc,1959.0,3.0,3.0,100000.0,2.0,Some-college,Prof-specialty,0
63,Male,Australia,30.0,90000.0,Separated,Without-pay,370.0,3.0,3.0,100370.0,3.0,HS-Grad,Exec-managerial,0
64,Female,Australia,38.0,50000.0,Never-married,Private,3239.0,4.0,4.0,101000.0,1.0,Bachelors,Craft-repair,0
65,Male,Australia,38.0,110000.0,Never-married,Self-emp-inc,103202.0,6.0,6.0,102500.0,5.0,HS-Grad,Prof-specialty,1
66,Female,Canada,39.0,210000.0,Separated,Without-pay,3962.0,3.0,3.0,101777.0,3.0,Some-college,Exec-managerial,0
67,Female,Canada,33.0,310000.0,Separated,Private,71855.0,4.0,4.0,105000.0,3.0,HS-Grad,Prof-specialty,0
68,Male,Canada,47.0,390000.0,Never-married,Without-pay,5768.0,3.0,3.0,108875.0,2.0,Some-college,Exec-managerial,0
69,Female,Australia,25.0,30000.0,Separated,Self-emp-inc,4471.0,3.0,6.0,101500.0,3.0,HS-Grad,Prof-specialty,0
70,Female,Canada,50.0,270000.0,Separated,Without-pay,3095.0,3.0,3.0,102340.0,2.0,HS-Grad,Exec-managerial,0
71,Female,Canada,23.0,30000.0,Separated,Local-gov,26185.0,5.0,8.0,104518.0,6.0,Masters,Farming-fishing,0
72,Male,Canada,46.0,360000.0,Never-married,Private,14591.0,4.0,4.0,103005.0,3.0,HS-Grad,Prof-specialty,1
73,Female,Canada,33.0,200000.0,Never-married,Daily-wages,0.0,5.0,2.0,100000.0,1.0,Bachelors,Craft-repair,0
74,Female,Australia,51.0,90000.0,Never-married,Private,12822.0,,4.0,101188.0,3.0,HS-Grad,Prof-specialty,0
75,Female,Canada,34.0,150000.0,Never-married,Daily-wages,0.0,5.0,2.0,100000.0,2.0,Some-college,Craft-repair,0
76,Female,Australia,33.0,260000.0,Never-married,Private,112501.0,4.0,4.0,104000.0,3.0,HS-Grad,Prof-specialty,0
77,Female,Australia,41.0,290000.0,Separated,Private,286391.0,4.0,4.0,110000.0,3.0,HS-Grad,Prof-specialty,0
78,Female,France,31.0,300000.0,Separated,Private,92235.0,4.0,4.0,104505.0,3.0,HS-Grad,Prof-specialty,0
79,Female,Australia,45.0,250000.0,Never-married,Daily-wages,2218.0,2.0,2.0,104940.0,1.0,Bachelors,Craft-repair,0
80,Female,Australia,23.0,70000.0,Separated,Private,32244.0,4.0,4.0,101841.0,3.0,HS-Grad,Prof-specialty,0
81,Female,France,45.0,50000.0,Separated,Private,51400.0,4.0,2.0,100000.0,1.0,Bachelors,Craft-repair,0
82,Female,Canada,36.0,250000.0,Separated,Private,111204.0,4.0,4.0,105600.0,3.0,HS-Grad,Prof-specialty,0
83,Female,Australia,48.0,240000.0,Never-married,Without-pay,101.0,3.0,2.0,100000.0,1.0,Bachelors,Craft-repair,1
84,Female,Canada,25.0,70000.0,Separated,Without-pay,2781.0,3.0,4.0,118180.0,3.0,Some-college,Exec-managerial,0
85,Male,Australia,26.0,50000.0,Separated,Private,37862.0,,4.0,101304.0,3.0,Masters,Prof-specialty,0
86,Female,Canada,25.0,50000.0,Separated,Private,50380.0,4.0,4.0,104000.0,1.0,Bachelors,Craft-repair,0
87,Female,Canada,29.0,420000.0,Separated,Daily-wages,392.0,2.0,3.0,100400.0,3.0,HS-Grad,Prof-specialty,0
88,Female,Australia,22.0,30000.0,Separated,Private,25536.0,4.0,4.0,101800.0,3.0,Masters,Prof-specialty,0
89,Female,Australia,32.0,50000.0,Never-married,Private,46610.0,4.0,4.0,102021.0,3.0,HS-Grad,Prof-specialty,0
90,Female,Canada,28.0,140000.0,Separated,Without-pay,7588.0,3.0,3.0,117015.0,,Some-college,Exec-managerial,0
91,Female,Australia,39.0,30000.0,Never-married,State-gov,1742.0,3.0,6.0,100000.0,3.0,Some-college,Farming-fishing,0
92,Male,France,29.0,180000.0,Separated,Daily-wages,4358.0,2.0,2.0,103169.0,1.0,Bachelors,Exec-managerial,0
93,Male,Australia,43.0,210000.0,Never-married,Private,47025.0,4.0,4.0,102300.0,3.0,HS-Grad,Prof-specialty,0
94,Female,Canada,29.0,280000.0,Separated,Without-pay,2187.0,3.0,3.0,101469.0,2.0,Some-college,Exec-managerial,0
95,Female,France,38.0,20000.0,Separated,Without-pay,12193.0,,6.0,105015.0,3.0,Some-college,Exec-managerial,0
96,Female,Canada,26.0,30000.0,Separated,Self-emp-inc,13890.0,5.0,6.0,102000.0,5.0,HS-Grad,Prof-specialty,1
97,Male,Australia,24.0,30000.0,Separated,Private,12800.0,4.0,2.0,100000.0,,Some-college,Craft-repair,0
98,Male,Canada,33.0,230000.0,Separated,Private,56754.0,4.0,4.0,103000.0,3.0,HS-Grad,Prof-specialty,0
99,Male,Canada,46.0,250000.0,Never-married,Without-pay,1197.0,3.0,3.0,100000.0,2.0,Some-college,Exec-managerial,1
100,Female,Canada,38.0,480000.0,Never-married,Private,384150.0,4.0,4.0,115000.0,3.0,HS-Grad,Prof-specialty,0
101,Male,Canada,29.0,70000.0,Separated,Private,32938.0,4.0,4.0,101548.0,5.0,HS-Grad,Prof-specialty,0
102,Female,France,45.0,20000.0,Never-married,Private,14064.0,6.0,4.0,103000.0,3.0,HS-Grad,Prof-specialty,1
103,Female,Australia,32.0,50000.0,Never-married,Private,44751.0,4.0,4.0,101500.0,3.0,HS-Grad,Prof-specialty,0
104,Female,Australia,33.0,180000.0,Separated,Without-pay,4160.0,3.0,3.0,107817.0,2.0,Some-college,Exec-managerial,0
105,Female,France,44.0,30000.0,Never-married,Private,25957.0,4.0,6.0,103400.0,5.0,Masters,Adm-clerical,0
106,Male,Australia,40.0,90000.0,Never-married,Private,42856.0,4.0,4.0,103114.0,2.0,Some-college,Exec-managerial,1
107,Female,Canada,30.0,220000.0,Separated,Private,22959.0,4.0,4.0,120066.0,3.0,Some-college,Exec-managerial,0
108,Female,Canada,25.0,170000.0,Separated,Private,8046.0,4.0,4.0,101085.0,2.0,HS-Grad,Prof-specialty,0
109,Female,Australia,48.0,290000.0,Never-married,Self-emp-inc,292907.0,5.0,4.0,100000.0,3.0,HS-Grad,Prof-specialty,1
110,Female,Spain,22.0,30000.0,Separated,Private,13738.0,4.0,4.0,104000.0,,HS-Grad,Prof-specialty,0
111,Male,Canada,31.0,360000.0,Separated,Private,81740.0,4.0,4.0,108000.0,,HS-Grad,Prof-specialty,0
112,Male,Canada,51.0,500000.0,Never-married,Without-pay,8030.0,3.0,3.0,113156.0,,Some-college,Prof-specialty,0
113,Female,Australia,25.0,360000.0,Separated,Private,354626.0,4.0,4.0,114000.0,3.0,HS-Grad,Prof-specialty,1
114,Male,Australia,46.0,170000.0,Never-married,Private,94791.0,4.0,4.0,104300.0,3.0,HS-Grad,Prof-specialty,1
115,Female,France,47.0,170000.0,Separated,Without-pay,16089.0,3.0,3.0,105455.0,2.0,Some-college,Exec-managerial,0
116,Male,Australia,40.0,10000.0,Separated,Private,9649.0,4.0,4.0,101500.0,3.0,HS-Grad,Prof-specialty,1
117,Female,Canada,25.0,30000.0,Separated,Self-emp-inc,29628.0,,6.0,101600.0,5.0,HS-Grad,Prof-specialty,0
118,Female,France,24.0,80000.0,Separated,Self-emp-inc,12098.0,,6.0,100000.0,6.0,Masters,Adm-clerical,0
119,Male,Canada,28.0,120000.0,Separated,Private,8922.0,3.0,4.0,135000.0,3.0,HS-Grad,Prof-specialty,1
120,Male,Australia,29.0,80000.0,Never-married,State-gov,12237.0,8.0,6.0,100000.0,5.0,Masters,Adm-clerical,1
121,Male,Australia,32.0,470000.0,Separated,Without-pay,19419.0,3.0,3.0,111070.0,2.0,HS-Grad,Prof-specialty,0
122,Male,France,50.0,70000.0,Never-married,Private,68725.0,4.0,4.0,103220.0,3.0,HS-Grad,Prof-specialty,0
123,Female,Australia,25.0,30000.0,Separated,Private,24458.0,,4.0,105000.0,3.0,HS-Grad,Prof-specialty,0
124,Female,Spain,48.0,40000.0,Never-married,Private,37896.0,4.0,4.0,103292.0,3.0,HS-Grad,Prof-specialty,0
125,Male,France,40.0,200000.0,Separated,Without-pay,316.0,3.0,3.0,100316.0,2.0,Some-college,Exec-managerial,1
126,Female,Canada,26.0,150000.0,Separated,Without-pay,15079.0,3.0,3.0,105018.0,2.0,Some-college,Exec-managerial,0
127,Male,Australia,44.0,220000.0,Never-married,Private,217743.0,4.0,4.0,107000.0,3.0,HS-Grad,Prof-specialty,0
128,Male,Canada,44.0,20000.0,Never-married,Private,18091.0,4.0,4.0,101600.0,3.0,HS-Grad,Prof-specialty,1
129,Female,Australia,36.0,260000.0,Never-married,Private,200593.0,,4.0,108500.0,3.0,HS-Grad,Prof-specialty,1
130,Male,France,44.0,20000.0,Never-married,Private,18467.0,4.0,4.0,101328.0,3.0,HS-Grad,Prof-specialty,0
131,Female,Australia,27.0,490000.0,Separated,Private,222705.0,4.0,4.0,105011.0,3.0,HS-Grad,Exec-managerial,0
132,Male,France,65.0,80000.0,Never-married,Private,25043.0,4.0,4.0,101374.0,2.0,Some-college,Exec-managerial,0
133,Female,Australia,30.0,60000.0,Separated,Private,10809.0,4.0,4.0,103160.0,3.0,HS-Grad,Prof-specialty,0
134,Female,Spain,52.0,160000.0,Never-married,Private,202638.0,4.0,4.0,107638.0,3.0,HS-Grad,Prof-specialty,0
135,Female,Australia,37.0,240000.0,Never-married,Private,51277.0,4.0,4.0,110006.0,3.0,Some-college,Prof-specialty,0
136,Female,Australia,23.0,50000.0,Never-married,Private,50859.0,4.0,4.0,101965.0,3.0,HS-Grad,Prof-specialty,0
137,Female,France,29.0,190000.0,Separated,Private,132669.0,4.0,4.0,106000.0,3.0,HS-Grad,Craft-repair,0
138,Female,France,36.0,60000.0,Never-married,Self-emp-inc,57285.0,5.0,6.0,105336.0,5.0,HS-Grad,Prof-specialty,1
139,Female,Australia,43.0,80000.0,Never-married,Private,71100.0,4.0,4.0,110000.0,3.0,HS-Grad,Prof-specialty,0
140,Male,Australia,23.0,110000.0,Separated,Private,43027.0,4.0,4.0,102000.0,5.0,Masters,Adm-clerical,0
141,Female,France,38.0,120000.0,Never-married,Private,117738.0,4.0,4.0,105820.0,3.0,HS-Grad,Prof-specialty,0
142,Male,France,37.0,140000.0,Never-married,Without-pay,13806.0,3.0,3.0,101003.0,,Some-college,Exec-managerial,1
143,Male,Canada,28.0,60000.0,Separated,Private,18996.0,4.0,4.0,102120.0,,Masters,Prof-specialty,1
144,Female,Australia,26.0,70000.0,Separated,Private,105338.0,4.0,4.0,103600.0,,HS-Grad,Prof-specialty,0
145,Male,France,40.0,240000.0,Separated,Private,245311.0,4.0,4.0,108491.0,,HS-Grad,Prof-specialty,0
146,Male,Australia,44.0,200000.0,Separated,Without-pay,541.0,3.0,3.0,100541.0,,Some-college,Exec-managerial,0
147,Female,Australia,33.0,10000.0,Separated,Private,15004.0,4.0,4.0,102452.0,3.0,HS-Grad,Exec-managerial,1
148,Female,France,31.0,200000.0,Separated,Without-pay,2126.0,3.0,4.0,199787.0,3.0,HS-Grad,Adm-clerical,0
149,Female,Australia,30.0,260000.0,Separated,Without-pay,165.0,3.0,3.0,100165.0,2.0,Some-college,Exec-managerial,0
150,Female,France,41.0,80000.0,Married-civ-spouse,Private,69964.0,4.0,4.0,103082.0,3.0,HS-Grad,Prof-specialty,0
151,Female,Canada,36.0,150000.0,Never-married,Without-pay,13447.0,3.0,3.0,117914.0,2.0,Some-college,Exec-managerial,0
152,Female,Australia,34.0,100000.0,Never-married,Self-emp-inc,246.0,3.0,6.0,100123.0,2.0,Some-college,Exec-managerial,1
153,Male,Canada,28.0,100000.0,Separated,Private,97032.0,4.0,4.0,105341.0,3.0,HS-Grad,Prof-specialty,0
154,Female,Australia,38.0,80000.0,Never-married,Daily-wages,0.0,2.0,2.0,100000.0,1.0,Bachelors,Exec-managerial,0
155,Female,Australia,31.0,300000.0,Never-married,Without-pay,3863.0,3.0,3.0,105021.0,2.0,Some-college,Exec-managerial,0
156,Male,Australia,26.0,220000.0,Separated,Self-emp-inc,215477.0,6.0,6.0,105516.0,5.0,Masters,Prof-specialty,0
157,Male,US,30.0,360000.0,Separated,Private,40250.0,4.0,3.0,123000.0,,HS-Grad,Exec-managerial,0
158,Female,France,49.0,250000.0,Never-married,Daily-wages,632.0,2.0,2.0,100000.0,1.0,Bachelors,Craft-repair,1
159,Female,France,26.0,70000.0,Never-married,Private,71832.0,6.0,4.0,103275.0,,HS-Grad,Prof-specialty,0
160,Male,Canada,53.0,210000.0,Never-married,Without-pay,6060.0,3.0,3.0,105983.0,2.0,Some-college,Exec-managerial,0
161,Female,France,49.0,50000.0,Never-married,Private,33782.0,4.0,3.0,104000.0,2.0,Some-college,Exec-managerial,1
162,Female,Australia,40.0,170000.0,Never-married,Private,134496.0,4.0,4.0,117400.0,3.0,HS-Grad,Prof-specialty,0
163,Female,France,34.0,70000.0,Never-married,Self-emp-inc,76023.0,5.0,4.0,100000.0,3.0,HS-Grad,Prof-specialty,0
164,Male,France,43.0,80000.0,Separated,Self-emp-inc,76292.0,,4.0,103006.0,3.0,Some-college,Exec-managerial,0
165,Female,France,44.0,110000.0,Never-married,Private,13348.0,,4.0,167431.0,3.0,HS-Grad,Prof-specialty,1
166,Male,Canada,51.0,500000.0,Never-married,Daily-wages,10063.0,2.0,2.0,110395.0,1.0,Bachelors,Craft-repair,0
167,Male,Canada,31.0,180000.0,Separated,Without-pay,6383.0,3.0,3.0,103200.0,2.0,Some-college,Exec-managerial,0
168,Female,Canada,45.0,480000.0,Never-married,Private,17976.0,3.0,3.0,101008.0,,Some-college,Exec-managerial,0
169,Female,Australia,33.0,440000.0,Never-married,Private,411970.0,4.0,4.0,115003.0,5.0,HS-Grad,Prof-specialty,0
170,Female,Australia,30.0,160000.0,Separated,Private,136053.0,4.0,4.0,103528.0,3.0,HS-Grad,Prof-specialty,0
171,Female,Australia,51.0,380000.0,Never-married,Daily-wages,0.0,5.0,2.0,100000.0,1.0,Some-college,Exec-managerial,0
172,Female,Canada,31.0,200000.0,Never-married,Without-pay,1203.0,3.0,2.0,100000.0,1.0,Some-college,Exec-managerial,0
173,Male,Canada,27.0,240000.0,Separated,Private,2961.0,4.0,4.0,102000.0,3.0,Some-college,Adm-clerical,0
174,Female,Australia,48.0,80000.0,Separated,Private,60261.0,4.0,4.0,102234.0,5.0,HS-Grad,Prof-specialty,0
175,Male,Australia,30.0,160000.0,Separated,Private,155967.0,4.0,4.0,107541.0,3.0,HS-Grad,Prof-specialty,0
176,Female,Canada,37.0,470000.0,Never-married,Private,163000.0,4.0,4.0,110047.0,3.0,HS-Grad,Prof-specialty,0
177,Male,France,31.0,50000.0,Separated,Without-pay,44461.0,3.0,3.0,101000.0,1.0,Bachelors,Craft-repair,1
178,Female,Australia,23.0,150000.0,Separated,Private,167317.0,4.0,4.0,110000.0,3.0,HS-Grad,Prof-specialty,0
179,Male,France,49.0,50000.0,Never-married,Private,49331.0,4.0,4.0,102000.0,3.0,HS-Grad,Prof-specialty,1
180,Male,Canada,54.0,150000.0,Never-married,Without-pay,4015.0,,3.0,100501.0,1.0,Bachelors,Craft-repair,1
181,Female,Australia,40.0,230000.0,Never-married,Daily-wages,0.0,2.0,2.0,100000.0,1.0,Bachelors,Craft-repair,0
182,Male,France,61.0,230000.0,Never-married,Daily-wages,0.0,5.0,2.0,100000.0,1.0,Bachelors,Craft-repair,1
183,Female,Australia,38.0,100000.0,Never-married,Self-emp-inc,14483.0,5.0,4.0,100000.0,3.0,Masters,Prof-specialty,1
184,Female,Australia,25.0,90000.0,Never-married,Private,58502.0,4.0,4.0,103043.0,3.0,HS-Grad,Prof-specialty,0
185,Female,Canada,37.0,110000.0,Never-married,Private,14519.0,,6.0,103536.0,3.0,HS-Grad,Prof-specialty,0
186,Male,Canada,27.0,70000.0,Separated,Private,2219.0,4.0,2.0,100000.0,1.0,Bachelors,Exec-managerial,0
187,Female,Australia,27.0,130000.0,Separated,Private,18776.0,4.0,4.0,103000.0,3.0,HS-Grad,Prof-specialty,0
188,Female,Canada,31.0,450000.0,Separated,Without-pay,12818.0,3.0,3.0,117577.0,2.0,HS-Grad,Prof-specialty,0
189,Female,France,41.0,100000.0,Never-married,Self-emp-inc,77208.0,5.0,4.0,100000.0,3.0,HS-Grad,Prof-specialty,0
190,Female,France,41.0,20000.0,Divorced,Daily-wages,2795.0,2.0,2.0,100941.0,1.0,Bachelors,Craft-repair,0
191,Female,Canada,28.0,500000.0,Separated,Private,229258.0,4.0,4.0,110042.0,3.0,HS-Grad,Prof-specialty,0
192,Female,Australia,25.0,130000.0,Separated,Private,128976.0,4.0,4.0,107100.0,3.0,HS-Grad,Prof-specialty,0
193,Male,France,33.0,200000.0,Separated,Daily-wages,2810.0,2.0,2.0,107149.0,1.0,Some-college,Exec-managerial,0
194,Female,Australia,30.0,160000.0,Separated,Without-pay,584.0,,3.0,104572.0,2.0,Some-college,Exec-managerial,0
195,Female,Australia,38.0,200000.0,Never-married,Without-pay,780.0,3.0,3.0,100000.0,2.0,Some-college,Exec-managerial,0
196,Male,Australia,33.0,20000.0,Never-married,Self-emp-inc,18139.0,5.0,4.0,100000.0,3.0,11th,Adm-clerical,1
197,Male,Australia,27.0,110000.0,Never-married,Self-emp-inc,46657.0,5.0,6.0,103000.0,5.0,Masters,Adm-clerical,0
198,Male,Canada,29.0,360000.0,Separated,Daily-wages,0.0,5.0,3.0,100000.0,2.0,Bachelors,Craft-repair,0
199,Male,Canada,30.0,500000.0,Never-married,Without-pay,6049.0,,3.0,102500.0,,Bachelors,Craft-repair,0
200,Male,France,50.0,70000.0,Never-married,State-gov,56781.0,6.0,6.0,100002.0,5.0,Masters,Prof-specialty,1
201,Female,Australia,39.0,50000.0,Never-married,Private,30049.0,4.0,4.0,101800.0,3.0,HS-Grad,Prof-specialty,0
202,Male,Canada,32.0,320000.0,Separated,Self-emp-inc,752.0,3.0,3.0,100000.0,2.0,Bachelors,Craft-repair,1
203,Female,Canada,27.0,230000.0,Separated,Private,79108.0,4.0,4.0,103187.0,5.0,HS-Grad,Prof-specialty,0
204,Female,Australia,41.0,120000.0,Never-married,Without-pay,4591.0,3.0,3.0,100000.0,2.0,HS-Grad,Prof-specialty,0
205,Female,France,29.0,250000.0,Separated,Daily-wages,686.0,2.0,3.0,100000.0,2.0,Some-college,Exec-managerial,0
206,Male,Australia,52.0,210000.0,Separated,Daily-wages,5649.0,2.0,2.0,105425.0,1.0,Bachelors,Exec-managerial,0
207,Female,Canada,30.0,150000.0,Divorced,Daily-wages,50.0,2.0,2.0,108589.0,,Bachelors,Craft-repair,0
208,Female,Canada,23.0,20000.0,Separated,Private,23809.0,4.0,4.0,101700.0,3.0,Masters,Prof-specialty,0
209,Male,Canada,25.0,30000.0,Separated,Private,29108.0,4.0,4.0,101800.0,3.0,HS-Grad,Prof-specialty,1
210,Female,Canada,22.0,10000.0,Separated,State-gov,8352.0,5.0,6.0,100000.0,5.0,Masters,Adm-clerical,0
211,Male,Australia,25.0,50000.0,Never-married,Private,42238.0,,4.0,101807.0,3.0,HS-Grad,Prof-specialty,1
212,Female,Canada,24.0,30000.0,Separated,Private,28049.0,4.0,4.0,102000.0,3.0,HS-Grad,Prof-specialty,0
213,Female,Australia,37.0,60000.0,Never-married,Private,38670.0,4.0,4.0,101606.0,3.0,HS-Grad,Prof-specialty,0
214,Male,Australia,26.0,20000.0,Separated,Self-emp-inc,8476.0,5.0,6.0,102000.0,3.0,HS-Grad,Adm-clerical,1
215,Female,Australia,36.0,70000.0,Separated,Self-emp-inc,1156.0,3.0,6.0,102044.0,5.0,Masters,Adm-clerical,1
